,2,3,4,5,6,30,11,9,7,31,8,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,1,27,28,29,34,35,32,33,$,P,D,D',D*,S,A,A*,IF,W,E,C,EQ,R*,EN0,R,R',RO,A',T*,ASO,T,MDO,F,F*,Y,L,BL,
39, , , ,r37, , , ,r37, , , ,r37, , , , ,r37,r37,r37,r37,r37,r37,r37,r37,s74,s75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,72,73, , , , , , , 
40, , , ,r42, , , ,r42, , , ,r42, , , , ,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,s77,s78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,76, , , , , 
41, , , ,r46, , , ,r46, ,s80, ,r46, , , , ,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,79, , , 
42, , , ,r50, , , ,r50, , , ,r50, , , , ,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50,r50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43, , ,s43, , , ,s41, , , ,s44, , , , , , , , , , , , , , , , , , , , , ,s46,s47,s48,s49, , , , , , , , , , ,81,35,36, , ,37, , ,38, , ,39, ,40, , ,42,45
44, , , ,r56, , , ,r56, , , ,r56, , , , ,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45, , , ,r57, , , ,r57, , , ,r57, , , , ,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57,r57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46, , , ,r58, , , ,r58, , , ,r58, , , , ,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47, , , ,r59, , , ,r59, , , ,r59, , , , ,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48, , , ,r60, , , ,r60, , , ,r60, , , , ,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60,r60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
